;question	answer	card_export_column__field_a	card_export_column__field_b	card_export_column__field_c	tags	c_Added	c_LatestReview	c_Due	c_Interval_in_Days	c_Ease	c_Reviews	c_Lapses	c_CardType	c_NoteType	c_Deck	c_NoteID	c_CardID	allrevs
;問題	答案
江郎才盡	江郎，指南朝梁文人江淹。「江郎才盡」則指江淹晚年才思減退，所作詩文皆無佳句。 ＃典出南朝梁．鍾嶸《詩品．卷中．齊光祿江淹》。後用「江郎才盡」比喻文人的才思枯竭，無法再創佳句。
青出於藍	藍，蓼（ㄌㄧㄠˇ）藍，可以提取靛（ㄉㄧㄢˋ）青染料的植物。「青出於藍」指青色是從蓼藍裡提煉出來的，但是顏色比蓼藍還深。比喻求學能使人進步。＃語本《荀子．勸學》。後用「青出於藍」比喻弟子勝過老師，或後輩優於前輩。 △「冰寒於水」、「後來居上」
口若懸河	說起話來像瀑布一樣滔滔不絕，比喻能言善辯。＃語本南朝宋．劉義慶《世說新語．賞譽》。
驚弓之鳥	曾受過箭傷，一聽到弓弦的聲音，就會驚懼的鳥。比喻曾受打擊或驚嚇，心有餘悸，稍有動靜就害怕的人。典出《戰國策．楚策四》。
含沙射影	「含沙射影」本作「含沙射人」。相傳古代有一種水中怪物叫「蜮」，會把口中所含的沙粒射到人身上或影子上，使人生病甚至死亡。＃語本晉．干寶《搜神記》卷一二。後以「含沙射影」比喻間接地詆毀、陷害別人。 △「含血噴人」、「暗箭傷人」
一敗塗地	「一」，典源作「壹」。「壹」同「一」。一旦戰敗身死，將會是肝腦塗滿大地。＃語出《史記．卷八．高祖本紀》。後用「一敗塗地」形容做事失敗，到了無法收拾的地步。
草木皆兵	見到風吹草動，都以為是敵兵。語本《晉書．卷一一四．苻堅載記下》。後用「草木皆兵」形容疑神疑鬼、驚恐不安。 △「杯弓蛇影」、「風聲鶴唳」、「風聲鶴唳，草木皆兵」
投筆從戎	戎，軍旅。「投筆從戎」指棄文從軍，以衛國立功。＃典出《東觀漢記．卷一六．班超列傳》。
東窗事發	在東窗下的密謀已經被揭發。＃語出元．劉一清《錢塘遺事．卷二．東窗事發》。後用「東窗事發」指陰謀或非法勾當敗露。 △「露出馬腳」
畫蛇添足	畫好蛇後，多事為它添上蛇足，結果反而失去本已贏得的酒。比喻多此一舉，反將事情弄糟。典出《戰國策．齊策二》。
勢如破竹	形勢如同劈竹子一般，只要劈開上端，底下自然就會隨著刀勢分開。比喻戰事進展順利，毫無阻礙。語本《晉書．卷三四．杜預列傳》。後亦用「勢如破竹」來比喻事情進展順利，毫無阻礙。 △「銳不可當」、「勢不可當」
滄海桑田	滄海，指大海。桑田，植桑之田，指陸地。「滄海桑田」指大海變為陸地，陸地淪為大海。比喻環境改變很大。語本晉．葛洪《神仙傳》。後亦用「滄海桑田」比喻世事無常，變化很快。 △「白雲蒼狗」、「滄海揚塵」
望梅止渴	曹操編造前方梅林結了很多果實，誘使士兵流出口水以解渴的故事。典出南朝宋．劉義慶《世說新語．假譎》。後用「望梅止渴」比喻以空想來安慰自己。 △「畫餅充飢」
司空見慣	司空，職官名。「司空見慣」比喻經常看到，不足為奇。＃語出唐．孟棨《本事詩．情感》
南轅北轍	轅，大車前部套在牲口左右兩邊的木頭，用以拖車。轍，車輛駛過留下的痕跡。「南轅北轍」指本要向南，但卻駕車往北行，離目的地越來越遠。比喻行動和想要達到的目的相反。典出《戰國策．魏策四》。後亦用「南轅北轍」比喻二者彼此背道而馳，或比喻遙隔兩地。 △「背道而馳」
夜郎自大	夜郎，漢代西南邊境的一個小國。「夜郎自大」指夜郎國王妄自尊大。＃典出《史記．卷一一六．西南夷列傳》。後用「夜郎自大」比喻人見識短淺，狂妄自大。 △「妄自尊大」
信口雌黃	雌黃，橙黃色礦物，成分是三硫化二砷，可作退色劑，古代用於塗改文字。本指有如口中含著雌黃，能隨時改正不合意的語句。＃語本晉．孫盛《晉陽秋》。後用「信口雌黃」比喻不顧事實真相，隨口亂說或妄加批評。 △「妄下雌黃」、「信口開河」
狼狽為奸	狼與狽相互搭配，傷害人命。語本唐．段成式《酉陽雜俎．卷一六．毛篇》。後用「狼狽為奸」比喻互相勾結做壞事。
狐假虎威	假，借。「狐假虎威」指狐狸借老虎的威風嚇走其他野獸。＃典出《尹文子》逸文。後用「狐假虎威」比喻藉著有權者的威勢欺壓他人、作威作福。 △「狗仗人勢」
作法自斃	「作法自斃」之「斃」，典源作「敝」。「敝」，義同「斃」。自己訂立的法規，反而使自己受害。比喻自作自受。語本《史記．卷六八．商君列傳》。 △「作繭自縛」
為虎作倀	倀，音ㄔㄤ，傳說中被虎吃掉後又供虎使喚的鬼。「為虎作倀」指被虎咬死的人，靈魂將化為鬼而為虎所役使。＃典出唐．裴鉶《傳奇》。後用「為虎作倀」比喻幫惡人做壞事。
如火如荼	荼，茅草開的白花。「如火如荼」指像火那樣紅、像荼那樣白。比喻軍容壯盛浩大。語本《國語．吳語》。後用「如火如荼」形容事物的興盛或氣氛的熱烈。
老馬識途	老馬認得走過的路。典出《韓非子．說林上》。後用「老馬識途」比喻有經驗的人對情況比較熟悉，容易把工作做好。
杞人憂天	古時杞國有個人，因為擔心天會塌下來而憂慮不安。典出《列子．天瑞》。後用「杞人憂天」比喻缺乏根據且不必要的憂慮。 △「庸人自擾」
一暴十寒	在陽光下曝晒一天，又接連冷凍十天。比喻人做事缺乏恆心，時常中斷。語本《孟子．告子上》。後用「一暴十寒」比喻人學習或工作不能有所堅持，缺乏恆心。
守株待兔	沿用過去的方法，守在樹旁，等待撞樹而死的兔子，最後終一無所得。比喻拘泥守成。典出《韓非子．五蠹》。後亦用「守株待兔」比喻妄想不勞而獲或等著目標自己送上門來。 △「刻舟求劍」、「膠柱鼓瑟」
不學無術	「不學無術」之「無」，典源作「亡」。「亡」通「無」。指不知研習經典，並從中獲取經驗與知識，以致行為處事有所偏頗或錯誤。語出《漢書．卷六八．霍光金日磾傳．霍光》。後用「不學無術」泛指人未經學習而沒有學問才幹。 △「目不識丁」、「胸無點墨」
四面楚歌	四面都是楚國的歌謠。典出《史記．卷七．項羽本紀》。後用「四面楚歌」比喻四面受敵，孤立無援。
奇貨可居	收藏奇珍異品，等待高價出售。比喻利用某種專長或有價值的東西以謀利。語出《史記．卷八五．呂不韋列傳》。
刻舟求劍	劍掉入水中，在船舷刻上記號，待船停止後仍從記號處下水尋劍。比喻拘泥固執，不知變通。典出《呂氏春秋．慎大覽．察今》。 △「守株待兔」、「膠柱鼓瑟」
走馬看花	(一)騎馬快走以觀賞花景，形容抱負實現或遊賞時得意愉快的心情。語本唐．孟郊〈登科後〉詩。 △「走馬探花」、「春風得意」 (二)比喻粗略、匆促地觀看，不能仔細深入了解事物。※語或出清．吳喬《圍爐詩話》卷三。 △「走馬看錦」、「浮光掠影」
後來居上	堆積柴火時，後搬來的反而在上面。指用人時，資格淺的人反而居上位。＃語本《史記．卷一二○．汲鄭列傳．汲黯》。後用「後來居上」形容後來的人或事物超越原領先者。 △「青出於藍」
負荊請罪	背著荊條，前往對方居所自請責罰。典出《史記．卷八一．廉頗藺相如列傳》。後用「負荊請罪」比喻主動向對方承認錯誤，請求責罰和原諒。 △「刎頸之交」
對牛彈琴	為牛彈琴，但牛依然低頭而食，聽而不聞。比喻講話、做事不看對象。典出《弘明集．卷一．漢．牟融．理惑論》。後用「對牛彈琴」比喻對不懂道理的人講道理。
一鼓作氣	古代作戰時，第一通鼓最能激起戰士們的勇氣。語出《左傳．莊公十年》。後用「一鼓作氣」比喻做事時要趁著初起時的勇氣去做才容易成功。
杯弓蛇影	將酒杯裡的弓影，誤以為是蛇，以致喝下後心生疑懼。＃典出漢．應劭《風俗通義．卷九．世間多有見怪驚怖以自傷者》。後用「杯弓蛇影」比喻為不存在的事情枉自驚擾。 △「風聲鶴唳」、「草木皆兵」
紙上談兵	在文字上談論用兵的策略。典出《史記．卷八一．廉頗藺相如列傳．趙奢》。後用「紙上談兵」比喻不切實際的議論。 △「紙上空談」
破鏡重圓	破成兩半的鏡子再次復合。指南朝陳徐德言與妻樂昌公主於戰亂離散時各執半鏡，作為他日相見的信物，後果因此得以相聚。典出唐．孟棨《本事詩．情感》。後用「破鏡重圓」比喻夫妻離散或感情決裂後重新團圓合好。
東山再起	指晉朝人謝安退職隱居東山，後來又再度入朝擔任要職。＃典出南朝宋．劉義慶《世說新語．排調》。後用「東山再起」比喻官員退隱後，再度出任官職。亦用於比喻失敗後重新崛起。 △「捲土重來」
樂不思蜀	快樂到一點也不想回去蜀國。典出晉．習鑿齒《漢晉春秋》。後用「樂不思蜀」比喻人因留戀異地而不想返回故鄉。或形容快樂得忘了歸去。 △「流遯忘反」、「樂而忘返」
濫竽充數	竽，古代一種吹奏樂器。「濫竽充數」意謂不會吹竽的人，混雜於眾多樂工中湊數。典出《韓非子．內儲說上》。後用「濫竽充數」比喻沒有真才實學的人，混在行家中充數。亦用於比喻拿不好的東西充場面。亦用於自謙，比喻自己才德不足。 △「魚目混珠」
打草驚蛇	擊打草叢以嚇走蛇。比喻某甲受到懲戒，而使某乙、丙等知所警惕。※＃語或本宋．鄭文寶《南唐近事》卷二。後用「打草驚蛇」比喻對付敵人時，行事不密，致使對方有所警覺，而預先防備。
揠苗助長	揠，拔起。「揠苗助長」指拔苗以助其成長，反而讓苗枯死了。比喻使用不當的手段以求速成，結果不但無益，反而有害。典出《孟子．公孫丑上》。
功虧一簣	堆土成山，已至九仞，卻因差最後一簣而不能成功。比喻事情只差最後一步，卻因未能堅持到底而前功盡棄。語出《書經．旅獒》。 △「功敗垂成」、「前功盡棄」
入木三分	指墨跡深透木板三分，形容筆力遒勁。＃語出南朝宋．羊欣《筆陣圖》。後用「入木三分」比喻評論深刻中肯或描寫生動逼真。 △「鞭辟入裡」
一鳴驚人	一出聲就令人吃驚。比喻平時默默無聞，而後卻突然有驚人的表現。＃典出《韓非子．喻老》。
螳臂當車	當車，音ㄉㄤ　ㄔㄜ，立於車道中，後世或將「當」解為「擋」之假借，讀作ㄉㄤˇ。「螳臂當車」指螳螂立於車道中，舉起雙臂，妄想要阻擋車子前進。比喻不自量力。＃語本《莊子．人間世》。 △「蚍蜉撼樹」
死灰復燃	「死灰復燃」之「燃」，典源作「然」。「然」同「燃」。「死灰復燃」是將已經熄滅的灰燼，又重新燃燒起來，比喻失勢者重新得勢。語本《史記．卷一○八．韓長孺列傳》。後亦用「死灰復燃」比喻已經平息的事物，又重新活動起來。
咄咄逼人	(一)咄咄，本為驚嘆之聲。逼人，情勢逼人。「咄咄逼人」本形容情勢險惡逼人，使人畏懼的意思。語出南朝宋．劉義慶《世說新語．排調》。後用「咄咄逼人」形容言語凌厲，氣勢逼人。 △「盲人瞎馬」、「盛氣凌人」 (二)形容詩文字畫等的氣勢逼近或超越前人的作品，令人敬畏。※＃語或出晉．衛鑠〈與釋某書〉。
出奇制勝	發奇兵或用奇計制敵而獲勝。語本《孫子．勢篇》。後用「出奇制勝」比喻用奇特、創新的方法取得好效果。
出類拔萃	遠超出同類之上，高出同群。形容才能特出，超越眾人。語本《孟子．公孫丑上》。 △「出人頭地」、「超群絕倫」
一竅不通	一個心竅都沒有通。語本《呂氏春秋．貴直論．過理》。後用「一竅不通」比喻人昏昧不明事理，或對某事完全不懂。 △「一無所知」。
食古不化	「食古不化」之「古」，原或作「生」。學了古代知識而不能充分理解、應用，如同吃了東西不能消化一樣。比喻一味守舊而不知變通。※語或本清．閻爾梅〈破山和尚語錄序〉。
一日千里	一日能行千里之遠。形容良馬跑得很快。＃語本《莊子．秋水》。後亦用「一日千里」形容速度極快。亦用於比喻進步極快或進展迅速。或比喻人才出眾。
吹毛求疵	吹開細毛，仔細尋找皮上的小毛病。比喻刻意挑剔過失或缺點。＃語本《韓非子．大體》。 △「求全責備」
一諾千金	一句諾言值千斤黃金。語本《史記．卷一○○．季布欒布列傳．季布》。後用「一諾千金」形容信守承諾，說話算數。
騎虎難下	騎著老虎，害怕被咬而不敢下來。比喻事情迫於情勢，無法中止，只好繼續做下去。＃語本南朝宋．何法盛〈晉中興書〉。
投鼠忌器	想投擊老鼠，卻怕擊中老鼠身旁的器物而不敢下手。比喻想要除害，但因有所顧忌而不敢下手。語出《漢書．卷四八．賈誼傳》。
孤注一擲	「孤注」，賭博時將所有資本下注。＃語出宋．司馬光《涑水記聞》卷六。「一擲」，擲一次骰子來決定勝負。※語或出《晉書．卷八五．何無忌列傳》。後以「孤注一擲」指賭博時，傾其所有而下注，並以一擲決定勝負。比喻危急時，投入全部力量，作最後的冒險。 △「背水一戰」
坐井觀天	坐在井底仰望天空。比喻人眼界狹小，見識不廣。語出唐．韓愈〈原道〉。
滄海一粟	大海中的一粒粟米。比喻渺小而微不足道。語本宋．蘇軾〈赤壁賦〉。 △「九牛一毛」
門可羅雀	門前冷清，空曠得可張網捕雀。形容做官的人失勢後賓客稀少的景況。語本《史記．卷一二○．汲鄭列傳》。後亦用「門可羅雀」泛指一般來客稀少、門庭冷清的景況。
攀龍附鳳	攀附著龍或鳳。比喻依仗有聲望的人。語本漢．揚雄《法言．淵騫》。後用「攀龍附鳳」比喻巴結權貴，以求晉升。 △「趨炎附勢」、「攀龍附驥」
痛心疾首	疾首，頭痛。心中痛恨到頭都痛了。比喻痛恨到極點。語出《左傳．成公十三年》。 △「咬牙切齒」、「深惡痛絕」
易如反掌	像翻轉手掌一般的容易。比喻事情非常容易做到。語本《孟子．公孫丑上》。 △「易若轉圜」
膾炙人口	膾，細切肉；炙，烤肉。膾、炙皆人間美味，「膾炙人口」指美味的食物人人愛吃，或比喻美妙的詩文為人所讚賞、傳誦。語出唐．林嵩〈周朴詩集序〉。後亦用「膾炙人口」比喻事物精妙而備受稱誦。
趾高氣揚	走路時腳抬得很高，樣子顯得十分神氣。形容人驕傲自滿、得意忘形。＃語本《戰國策．齊策三》。
唾面自乾	當別人吐口水在臉上時，不擦拭而讓它自己乾掉的故事。比喻逆來順受，寬容忍讓。＃典出唐．劉餗《隋唐嘉話》卷下。
推心置腹	把赤忱之心推到人家肚子裡。比喻以至誠待人。＃語本《東觀漢記．卷一．光武帝紀》。
病入膏肓	膏，心下脂肪；肓，心臟和橫膈膜之間。中醫之「膏肓」即指心之下，膈之上的部位。膏肓相傳是身體內藥力所不及的地方。「病入膏肓」原指病位深隱難治，病情危重，無藥可救。典出《左傳．成公十年》。後用「病入膏肓」比喻人、事已到無可挽回的程度。
蕭規曹隨	漢代曹參繼蕭何為相國，舉事皆無所變更。＃典出《史記．卷五四．曹相國世家》。後用「蕭規曹隨」比喻後人依循前人所訂的規章辦事。 △「率由舊章」
庸人自擾	庸碌的人無端自尋煩惱。語本《舊唐書．卷八八．陸元方列傳》。 △「杞人憂天」。
緣木求魚	爬到樹上去抓魚。比喻用錯方法，徒勞無功。語出《孟子．梁惠王上》。
雙管齊下	手握雙管同時作畫。＃語本唐．朱景玄《唐朝名畫錄．神品下．張藻》。後用「雙管齊下」比喻同時採用兩種辦法來做事。
一言九鼎	九鼎，傳說中夏禹的傳國寶器。「一言九鼎」形容說話很有分量。語本《史記．卷七六．平原君虞卿列傳．平原君》。後亦用「一言九鼎」形容說話很有信用。 △「三寸不爛之舌」
自相矛盾	比喻言語或行事前後無法呼應，互相牴觸。◎典出《韓非子．難一》。
扶搖直上	隨急遽的旋風，盤旋而上。語本《莊子．逍遙遊》。後用「扶搖直上」比喻快速上升，亦用來比喻仕途得意。 △「青雲直上」
舉案齊眉	將放置飯菜的木盤高舉，與眉平齊，為東漢孟光對其夫梁鴻敬愛的表示。＃典出《東觀漢記．卷一八．梁鴻列傳》。後用「舉案齊眉」比喻夫妻相敬如賓。
閉門造車	關起門來，按照一定的規格在家裡造車。比喻依循著一定的原則行事。＃語出《祖堂集．卷二○．五冠山瑞雲寺和尚》。後用「閉門造車」比喻凡事只憑主觀辦事，不問是否切合實際。 △「閉門造車，出門合轍」
歧路亡羊	岔路很多，因此而走失了一隻羊。比喻事理繁雜多變，求道者誤入迷途，而終無所成。典出《列子．說符》。
風聲鶴唳	聽到風聲和鶴鳴，都以為是敵兵。語出《晉書．卷七九．謝安列傳》。後用「風聲鶴唳」形容驚慌疑懼，自相侵擾。 △「杯弓蛇影」、「風聲鶴唳，草木皆兵」、「草木皆兵」、「草行露宿」
老當益壯	指年紀雖大但身體仍然強健，且志氣豪壯。語出《後漢書．卷二四．馬援列傳》。 △「老驥伏櫪」
車水馬龍	門前車馬往來不絕。＃語本《東觀漢記．卷六．外戚列傳．明德馬皇后》。後用「車水馬龍」形容繁華熱鬧的景象。
未雨綢繆	還沒有下雨之前，就先把門窗修好。語本《詩經．豳風．鴟鴞》。後用「未雨綢繆」比喻事先預備以防患未然。 △「防患未然」、「防微杜漸」
先發制人	凡事先下手取得先機，才能制伏對方。＃語本《史記．卷七．項羽本紀》。
洛陽紙貴	由於左思的〈三都賦〉，時人競相傳寫，因而洛陽為之紙貴。典出《晉書．卷九二．文苑列傳．左思》。後用「洛陽紙貴」形容著作風行一時，流傳甚廣。 △「都城紙貴」
孤陋寡聞	寡，少。形容學識淺薄，見聞不廣。語出《禮記．學記》。
不共戴天	不與殺父的仇人共存於世間。◎語本《禮記．曲禮上》。後用「不共戴天」比喻仇恨極深。 △「勢不兩立」
滿腹經綸	經綸，整理絲線，引申為規劃、治理。「滿腹經綸」形容才識豐富，具有處理大事的才能。※語或本《易經．屯卦．象》。 △「滿腹經籍」
飲鴆止渴	「飲鴆止渴」之「鴆」，典源作「酖」。「酖」通「鴆」。鴆，以鴆鳥羽毛浸製而成的毒酒。「飲鴆止渴」指飲毒酒以解渴。比喻只求解決眼前困難，而不顧將來更大的禍患。語本《後漢書．卷四八．楊李翟應霍爰徐列傳．霍諝》。
退避三舍	舍，古人以三十里為一舍。「退避三舍」指作戰時，將部隊往後撤退九十里。◎語本《左傳．僖公二十三年》。後用「退避三舍」比喻主動退讓，不與人相爭。
世外桃源	與世隔絕，開滿桃花的安樂土。典出晉．陶潛〈桃花源記〉。後用「世外桃源」比喻風景優美而人跡罕至的地方。亦用於比喻心目中理想的世界。 △「豁然開朗」
剛愎自用	愎，任性、固執。「剛愎自用」指性情倔強，自以為是。＃語本《左傳．宣公十二年》。 △「師心自用」
出爾反爾	你怎麼對待別人，別人也會怎麼待你。語本《孟子．梁惠王下》。後用「出爾反爾」比喻人的言行前後反覆，自相矛盾。 △「反覆無常」、「朝三暮四」、「朝秦暮楚」
目不識丁	連「丁」字都不認識。比喻不識字或毫無學問。＃語本《舊唐書．卷一二九．張延賞列傳》。 △「不學無術」、「胸無點墨」
水深火熱	處在深水熱火中。比喻處境非常艱困、痛苦。語本《孟子．梁惠王下》。 △「火熱湯沸」、「簞食壺漿」
假公濟私	假借公家的名義以謀取個人的私利。＃語本《漢書．卷六○．杜周傳》。
孤掌難鳴	一個巴掌難以拍出聲響。比喻人孤立無助，不能成事。語本《韓非子．功名》。
偃旗息鼓	軍隊放倒旌旗，停止戰鼓。形容不露行蹤。語出《雲別傳》。後亦用「偃旗息鼓」比喻事情中斷或聲勢減弱。 △「偃兵息甲」、「鳴金收兵」
妄自尊大	狂妄地自尊自大。語出《後漢書．卷二四．馬援列傳》。 △「不修邊幅」、「夜郎自大」
百折不撓	意志剛強，即使受到很多挫折，仍不屈服。語出漢．蔡邕〈太尉橋公碑〉。 △「不屈不撓」
拾人牙慧	牙慧，言談間流露出的智慧。語本南朝宋．劉義慶《世說新語．文學》。後用「拾人牙慧」比喻蹈襲他人的言論或主張。 △「人云亦云」、「拾人涕唾」
耳濡目染	「耳濡目染」之「濡」，典源作「擩」。「擩」義同「濡」。濡，習染、感染。「耳濡目染」指經常聽到、看到而深受影響。語本唐．韓愈〈清河郡公房公墓碣銘〉。 △「潛移默化」
得心應手	心裡怎麼想，手便能怎麼做。比喻技藝熟練，運用自如。＃語本《莊子．天道》。  後亦用「得心應手」比喻做事順利。
乘風破浪	順著風，破浪前進。＃語本《宋書．卷七六．宗愨列傳》。後亦用「乘風破浪」比喻人志向遠大，不畏艱難，奮勇前進。 △「披荊斬棘」
杯水車薪	以一杯水去撲滅一車木柴所燃起的火。比喻力量太小，無濟於事。＃語本《孟子．告子上》。 △「無濟於事」
車載斗量	用車裝，拿斗量。形容數量很多，不可勝數。語出《吳書》。 △「汗牛充棟」
滿城風雨	滿城，到處都颳風下雨的景象。本指自然現象，這種現象多出現在重陽或晚春時節。※語或出宋．釋惠洪《冷齋夜話．卷四．滿城風雨近重陽》。後「滿城風雨」語義一轉，也用來指事情一經傳出，便流言四起，到處議論紛紛。
燃眉之急	像火燒眉毛般緊迫。形容事態嚴重，情況危急。※語或出明．李開先〈亡妹盧氏婦墓志銘〉。 △「當務之急」
言不由衷	「言不由衷」之「衷」，典源作「中」。「中」同「衷」，指內心。「言不由衷」則指所說的話不是發自於內心。形容言詞與心意相違背。語本《左傳．隱公三年》。後用「言不由衷」泛指心口不一，虛應敷衍。 △「口是心非」、「言由衷發」
敝帚自珍	自家的破舊掃把，卻珍愛如寶。比喻東西雖不好，卻因為是自己所擁有，故非常珍視。語本《東觀漢記．卷一．光武帝紀》。
兔死狗烹	兔子死盡了，用來捕兔的獵狗因為失去了作用而被烹食。比喻事成之後，有功之人即遭到殺戮或見棄的命運。＃語本《淮南子．說林》。 △「鳥盡弓藏」、「鳥盡弓藏，兔死狗烹」
拋磚引玉	將磚拋出，引回玉來。※＃語或出《景德傳燈錄．卷一○．趙州觀音院從諗禪師》。後用「拋磚引玉」比喻自己先發表粗陋的詩文或不成熟的意見，以引出別人的佳作或高論，多用作自謙之詞。亦用於比喻以身作則，引發眾人響應。
門庭若市	門庭間來往的人很多，像市集一般熱鬧。比喻上門來的人很多。語出《戰國策．齊策一》。
不倫不類	「不倫不類」有兩種解，一是不合道理、法式，二是不像樣。語本唐．劉知幾《史通．卷一六．雜說上》。後用「不倫不類」形容事物不成體統。 △「不三不四」
虎頭蛇尾	虎頭形大，蛇尾體小。做事起初聲勢浩大，後來卻無聲息。比喻做事有始無終。※語或出元．康進之《李逵負荊》第二折。 △「有始無終」、「龍頭蛇尾」
空中樓閣	空中顯現的樓臺觀閣。※語或本唐．宋之問〈遊法華寺〉詩。後用「空中樓閣」來比喻思想明澈通達。或比喻虛構的事物或不切實際的幻想。 △「海市蜃樓」
天經地義	天地間原本如此而不容改變的道理。語本《左傳．昭公二十五年》。 △「理所當然」
殺身成仁	為了成全仁德而犧牲生命。語出《論語．衛靈公》。後用「殺身成仁」指為正義或崇高的理想而犧牲生命。 △「捨生取義」
心猿意馬	心思如猿猴不定地跳躍、快馬四處地奔馳而難以控制。比喻心思不專注集中。語本《參同契．卷上．中篇》漢．徐景休箋註。後亦用於比喻心意反覆不定。 △「心不在焉」、「見異思遷」
一視同仁	同樣以博愛的仁心，對待所有的人及禽獸。語出唐．韓愈〈原人〉。後用「一視同仁」指平等待人，不分親疏厚薄。
雪中送炭	在下雪天送炭給人取暖。比喻在人艱困危急之時，給予適時的援助。※語或本唐．釋德行《四字經．甲乙》。
甘拜下風	下風，風所吹向的那方。「甘拜下風」指待在下邊，聽候吩咐。＃語本《左傳．僖公十五年》。後用「甘拜下風」表示自認不如，由衷佩服。
無地自容	沒地方可以藏身。形容羞愧至極。語本《史記．卷七七．魏公子列傳》。 △「容身無地」
群策群力	聚合眾人的智慧和能力。語本漢．揚雄《法言．重黎》。 △「同心同德」、「同心協力」、「戮力同心」
過河拆橋	渡過了河就把橋拆掉。比喻不念舊情，忘恩負義。語出《元史．卷一四二．徹里帖木兒列傳》。
有備無患	事先有準備，即可免除後患。＃語出《書經．說命中》。 △「曲突徙薪」
裹足不前	包纏腳部，不往前行。形容有所顧忌，而停止腳步，不敢向前。＃語本《戰國策．秦策三》。 △「畏縮不前」
前倨後恭	先前傲慢無禮，後又謙卑恭敬。比喻待人勢利，態度轉變迅速。＃語出《戰國策．秦策一》。 △「引錐刺股」、「今恭昔慢」
弄巧成拙	本想賣弄才能、聰明，卻反而做了蠢事。比喻枉費心機。※語或出《五燈會元．卷三．江西馬祖道一禪師》。
噤若寒蟬	噤，閉口不作聲。「噤若寒蟬」指像寒冷季節時的蟬，一聲不響。比喻不敢說話。語本《後漢書．卷六七．黨錮列傳．杜密》。
戰戰兢兢	戰，害怕而發抖，通「顫」。兢兢，小心謹慎的樣子。「戰戰兢兢」形容戒慎恐懼的樣子。語出《詩經．小雅．小旻》。 △「如臨深淵」、「如履薄冰」、「誠惶誠恐」、「暴虎馮河」、「臨深履薄」
